Metropolitan_Statistical_Area,Detected_cumulative_newCases,Inferred_cumulative_newCases,Vaccinations_completed,Vaccinations_countdown
"New York City-Newark-Jersey City, NY-NJ-PA MSA",552976,560636,4994495,14391042
"Los Angeles-Long Beach-Anaheim, CA MSA",314970,311551,5772088,4440957
"Chicago-Naperville-Elgin, IL-IN-WI MSA",226928,226452,3943674,4157294
"Dallas-Fort Worth-Arlington, TX MSA",169568,168449,2652280,3857398
"Houston-The Woodlands-Sugar Land, TX MSA",191766,346537,2508641,2953413
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",117134,117159,2488185,3390311
"Miami-Fort Lauderdale-West Palm Beach, FL MSA",242953,241401,1876073,3298851
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",107018,106726,2313817,2642967
"Atlanta-Sandy Springs-Alpharetta, GA MSA",142451,140579,1720207,3173081
"Phoenix-Mesa-Chandler, AZ MSA",150381,148285,1693670,2732665
"Boston-Cambridge-Newton, MA-NH MSA",91753,99491,2457337,2450916
"San Francisco-Oakland-Berkeley, CA MSA",63739,62590,2624111,539839
"Riverside-San Bernardino-Ontario, CA MSA",110068,108501,1506194,2144543
"Detroit–Warren–Dearborn, MI MSA",72047,72171,1709169,2355956
"Seattle-Tacoma-Bellevue, WA MSA",37702,37762,1795519,2261411
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",62124,61616,1690823,1404271
"San Diego-Chula Vista-Carlsbad, CA MSA",44988,44605,1544062,1709956
"Tampa-St. Petersburg-Clearwater, FL MSA",74383,68283,1105281,1501528
"Denver-Aurora-Lakewood, CO MSA",38934,39198,1009479,1276028
"St. Louis, MO-IL MSA",59350,59541,969836,1513741
"Baltimore-Columbia-Towson, MD MSA",37660,38588,1022220,1263183
"Charlotte-Concord-Gastonia, NC-SC MSA",57256,57350,909605,1479117
"Orlando-Kissimmee-Sanford, FL MSA",67367,67219,951858,1727766
"San Antonio-New Braunfels, TX MSA",63986,61776,899769,1746887
"Portland-Vancouver-Hillsboro, OR-WA MSA",17567,17300,1085135,734546
"Sacramento-Roseville-Folsom, CA MSA",28942,26936,931737,614813
"Pittsburgh, PA MSA",19177,19204,983618,1134216
"Las Vegas-Henderson-Paradise, NV MSA",64288,63752,737038,1112652
"Austin-Round Rock-Georgetown, TX MSA",46303,45501,941799,1341732
"Cincinnati, OH-KY-IN MSA",29123,28767,877108,1008385
"Kansas City, MO-KS MSA",31301,31418,432226,1343201
"Columbus, OH MSA",36797,36085,875404,1236291
"Indianapolis-Carmel-Anderson, IN MSA",36619,37032,816231,951644
"Cleveland-Elyria, OH MSA",23150,22936,893242,802625
"San Jose-Sunnyvale-Santa Clara, CA MSA",21821,21844,1105050,374443
"Nashville-Davidson–Murfreesboro–Franklin, TN MSA",60413,59058,648373,985068
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",27284,27142,572179,880057
"Providence-Warwick, RI-MA MSA",31185,31401,744547,696345
"Milwaukee-Waukesha, WI MSA",39532,38508,602545,893044
"Jacksonville, FL MSA",42835,39135,510472,782983
"Oklahoma City, OK MSA",26847,26402,487165,877453
"Raleigh-Cary, NC MSA",22697,22376,641516,340107
"Memphis, TN-MS-AR MSA",37767,37337,324449,908922
"Richmond, VA MSA",19413,19409,493694,770938
"New Orleans-Metairie, LA MSA",42631,41213,480173,746265
"Louisville/Jefferson County, KY-IN MSA",23562,24090,507866,478821
"Salt Lake City, UT MSA",29286,29242,424159,561427
"Hartford-East Hartford-Middletown, CT MSA",17234,17600,596033,583766
"Buffalo-Niagara Falls, NY MSA",12770,12888,523049,427699
"Birmingham-Hoover, AL MSA",30783,29668,323461,788480
"Grand Rapids-Kentwood, MI MSA",13498,13540,441311,416349
"Rochester, NY MSA",7274,7270,512225,511403
"Tucson, AZ MSA",24647,23803,378332,457282
"Fresno, CA MSA",27769,27274,340183,410391
"Tulsa, OK MSA",21984,21312,322458,495770
"Urban Honolulu, HI MSA",10396,10109,427292,265206
"Omaha-Council Bluffs, NE-IA MSA",21995,21443,385023,572425
"Worcester, MA-CT MSA",15038,15781,411456,385030
"Bridgeport-Stamford-Norwalk, CT MSA",19848,20362,455933,400454
"Greenville-Anderson, SC MSA",22190,21615,282189,596277
"Albuquerque, NM MSA",8237,8245,423126,229419
"Bakersfield, CA MSA",31572,28686,258308,573948
"Albany-Schenectady-Troy, NY MSA",6395,6322,459367,323258
"Knoxville, TN MSA",16196,16238,306029,368029
"McAllen-Edinburg-Mission, TX MSA",30683,29635,364888,526570
"Baton Rouge, LA MSA",28480,27613,260845,562686
"New Haven-Milford, CT MSA",14261,14349,407205,402594
"Oxnard-Thousand Oaks-Ventura, CA MSA",12406,12242,383280,281612
"El Paso, TX MSA",22697,22865,376751,206788
"Allentown-Bethlehem-Easton, PA-NJ MSA",11783,11987,358070,351121
"Columbia, SC MSA",24962,25443,271317,362652
"North Port-Sarasota-Bradenton, FL MSA",19144,17775,356734,235927
"Dayton-Kettering, OH MSA",10266,10255,301331,487927
"Charleston-North Charleston, SC MSA",24884,25545,279637,465686
"Greensboro-High Point, NC MSA",12024,12139,293355,491168
"Cape Coral-Fort Myers, FL MSA",20024,19663,294469,361512
"Stockton, CA MSA",19841,19978,241482,398080
"Boise City, ID MSA",21011,21343,268641,511297
"Colorado Springs, CO MSA",6927,6886,224573,450426
"Little Rock-North Little Rock-Conway, AR MSA",14272,14637,239425,374557
"Lakeland-Winter Haven, FL MSA",19243,17963,209046,557206
"Akron, OH MSA",6235,6261,294686,296064
"Des Moines-West Des Moines, IA MSA",20205,20035,295176,272038
"Springfield, MA MSA",9620,10006,285028,342764
"Ogden-Clearfield, UT MSA",9287,9212,212030,390768
"Poughkeepsie-Newburgh-Middletown, NY MSA",16913,17083,277823,345456
"Winston-Salem, NC MSA",11097,11179,249732,266976
"Deltona-Daytona Beach-Ormond Beach, FL MSA",12199,11472,240842,253070
"Madison, WI MSA",10548,10567,323801,282961
"Syracuse, NY MSA",5175,5212,316751,309619
"Provo-Orem, UT MSA",15948,15865,172997,337947
"Durham-Chapel Hill, NC MSA",13850,13788,311424,260709
"Toledo, OH MSA",9111,8878,239906,316268
"Wichita, KS MSA",9885,10127,196560,341589
"Augusta-Richmond County, GA-SC MSA",15326,14348,150648,475385
"Palm Bay-Melbourne-Titusville, FL MSA",8429,9431,221921,404079
"Jackson, MS MSA",15561,15871,185847,401087
"Harrisburg-Carlisle, PA MSA",5675,5654,222012,194935
"Spokane-Spokane Valley, WA MSA",6623,6892,190235,208690
"Chattanooga, TN-GA MSA",12848,12927,169716,309760
"Scranton–Wilkes-Barre, PA MSA",6500,6473,239800,227463
"Modesto, CA MSA",16351,16137,170566,230944
"Lansing-East Lansing, MI MSA",4493,4546,199752,234733
"Lancaster, PA MSA",7566,7526,216936,262399
"Portland-South Portland, ME MSA",3425,3408,308899,236914
"Youngstown-Warren-Boardman, OH-PA MSA",5555,5550,197901,249658
"Fayetteville-Springdale-Rogers, AR MSA",15606,15057,156705,334489
"Fayetteville, NC MSA",8221,8233,119926,337708
"Lexington-Fayette, KY MSA",9898,9768,231503,149919
"Pensacola-Ferry Pass-Brent, FL MSA",17262,15829,137631,257529
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",11651,11451,195064,302640
"Santa Rosa-Petaluma, CA MSA",7112,6789,254393,52716
"Port St. Lucie, FL MSA",15680,15120,242666,254282
"Lafayette, LA MSA",18691,17773,128717,306435
"Reno, NV MSA",8752,8582,199284,152224
"Huntsville, AL MSA",9631,8932,148742,271181
"Springfield, MO MSA",8368,8449,132948,266486
"Visalia, CA MSA",15687,15578,137851,185480
"Asheville, NC MSA",5453,5387,203159,255434
"Killeen-Temple, TX MSA",7332,7859,95962,302675
"York-Hanover, PA MSA",4520,4535,163635,181718
"Vallejo, CA MSA",6180,5824,172695,285484
"Santa Maria-Santa Barbara, CA MSA",8930,9073,199161,238523
"Salinas, CA MSA",9568,9562,183505,227339
"Salem, OR MSA",4969,5010,161708,177558
"Mobile, AL MSA",13122,12922,106588,270252
"Corpus Christi, TX MSA",21975,19406,156362,289024
"Brownsville-Harlingen, TX MSA",22499,21724,187060,234831
"Reading, PA MSA",6862,6821,147014,169403
"Gulfport-Biloxi, MS MSA",4664,4553,67291,374364
"Manchester-Nashua, NH MSA",4296,4306,173988,238072
"Salisbury, MD-DE MSA",9800,9988,174532,155085
"Fort Wayne, IN MSA",6280,6276,144135,239139
"Flint, MI MSA",4334,4336,138579,234866
"Peoria, IL MSA",5350,5482,143384,112225
"Canton-Massillon, OH MSA",2908,2877,143669,159330
"Anchorage, AK MSA",4611,4691,145481,203709
"Shreveport-Bossier City, LA MSA",12272,12080,106504,237043
"Savannah, GA MSA",10589,9684,113697,275927
"Beaumont-Port Arthur, TX MSA",10404,10298,95486,303460
"Tallahassee, FL MSA",14344,14482,131229,227190
"Naples-Marco Island, FL MSA",12487,12157,172006,144929
"Eugene-Springfield, OR MSA",991,984,172916,184757
"Davenport-Moline-Rock Island, IA-IL MSA",6474,6520,143901,179863
"Montgomery, AL MSA",13586,13767,90971,283042
"Hickory-Lenoir-Morganton, NC MSA",7077,7002,123754,252680
"Ann Arbor, MI MSA",3881,3968,179476,121128
"Trenton-Princeton, NJ MSA",8612,8762,164193,192206
"Ocala, FL MSA",9453,9665,127798,238999
"Fort Collins, CO MSA",2373,2366,131873,205237
"Huntington-Ashland, WV-KY-OH MSA",3124,3136,113022,187197
"Lincoln, NE MSA",5981,5966,154626,101659
"Rockford, IL MSA",6353,6318,121634,144666
"Gainesville, FL MSA",8082,8235,110899,196593
"Boulder, CO MSA",3753,3794,132443,196100
"Greeley, CO MSA",4540,4556,86747,205498
"South Bend-Mishawaka, IN-MI MSA",6660,6631,125569,138594
"Green Bay, WI MSA",8844,8833,119962,101056
"Lubbock, TX MSA",10694,10526,100829,187056
"Columbus, GA-AL MSA",10816,10904,66709,190001
"Spartanburg, SC MSA",6361,6384,78524,161125
"Evansville, IN-KY MSA",6152,6287,139278,175159
"Roanoke, VA MSA",3251,3404,121810,137836
"Clarksville, TN-KY MSA",4506,5189,83824,189682
"Kingsport-Bristol, TN-VA MSA",3719,3929,103649,171245
"Kennewick-Richland, WA MSA",8903,8897,90158,177283
"Wilmington, NC MSA",4818,4651,126605,140046
"Olympia-Lacey-Tumwater, WA MSA",1141,1098,114520,174076
"Utica-Rome, NY MSA",2699,2725,119308,97893
"Duluth, MN-WI MSA",2042,2057,134947,51796
"Hagerstown-Martinsburg, MD-WV MSA",2653,2700,90657,148167
"Longview, TX MSA",3830,3964,53219,162709
"Crestview-Fort Walton Beach-Destin, FL MSA",6626,6100,77341,156936
"San Luis Obispo-Paso Robles, CA MSA",3438,3185,120671,155728
"Merced, CA MSA",8820,8733,68007,213562
"Laredo, TX MSA",13201,12015,127698,113472
"Waco, TX MSA",7571,8050,75385,214620
"Santa Cruz-Watsonville, CA MSA",2276,2434,137822,72845
"Cedar Rapids, IA MSA",4343,4328,125301,120989
"Bremerton-Silverdale-Port Orchard, WA MSA",1142,1168,103023,93754
"Erie, PA MSA",1483,1537,106403,155119
"Sioux Falls, SD MSA",7667,7859,115099,79666
"Norwich-New London, CT MSA",1774,2006,126366,106403
"Kalamazoo-Portage, MI MSA",3360,3364,143159,75374
"Amarillo, TX MSA",7252,7745,70920,107238
"College Station-Bryan, TX MSA",7366,7158,87134,193712
"Atlantic City-Hammonton, NJ MSA",3982,3957,116724,105260
"Lynchburg, VA MSA",1700,1667,61180,202489
"Charleston, WV MSA",2952,3075,103327,131491
"Tuscaloosa, AL MSA",8576,8555,63695,110599
"Yakima, WA MSA",12135,12069,83753,114546
"Fort Smith, AR-OK MSA",6793,6687,68685,164908
"Fargo, ND-MN MSA",6003,6054,115510,103219
"Binghamton, NY MSA",1696,1683,106314,79032
"Appleton, WI MSA",4735,4808,84364,88428
"Prescott Valley-Prescott, AZ MSA",2480,2472,79035,158730
"Lafayette-West Lafayette, IN MSA",2594,2595,88323,78588
"Tyler, TX MSA",4436,5099,65777,109019
"Topeka, KS MSA",3174,3131,91315,123910
"Macon-Bibb County, GA MSA",7504,7512,58832,157413
"Bellingham, WA MSA",1274,1262,98839,95029
"Champaign-Urbana, IL MSA",4606,4506,98613,136711
"Daphne-Fairhope-Foley, AL MSA",5087,4726,57214,119127
"Hilton Head Island-Bluffton-Beaufort, SC MSA",6218,5957,82144,98868
"Rochester, MN MSA",2812,2816,118405,72203
"Medford, OR MSA",1057,1027,78500,136603
"Burlington-South Burlington, VT MSA",966,981,96685,89207
"Chico, CA MSA",2764,2790,73505,148769
"Charlottesville, VA MSA",2438,2424,54674,112715
"Las Cruces, NM MSA",3158,3131,89093,122325
"Yuma, AZ MSA",12580,12869,77415,120720
"Athens-Clarke County, GA MSA",6592,6579,66108,132541
"Barnstable Town, MA MSA",1713,1969,0,204022
"Lake Havasu City-Kingman, AZ MSA",3895,3798,58969,159658
"Lake Charles, LA MSA",7968,7366,49275,134219
"Columbia, MO MSA",5628,5628,92140,114026
"Houma-Thibodaux, LA MSA",7136,6936,53203,148318
"Springfield, IL MSA",2380,2337,89354,66723
"Elkhart-Goshen, IN MSA",6481,6571,57364,152311
"Florence, SC MSA",6774,6580,65227,121849
"Gainesville, GA MSA",8827,8400,50610,115477
"Johnson City, TN MSA",3585,3603,70196,132392
"St. Cloud, MN MSA",4327,3962,68069,75377
"Monroe, LA MSA",7037,7072,47351,161834
"Jacksonville, NC MSA",1859,1859,36856,111012
"Bend, OR MSA",777,797,92416,112529
"Racine, WI MSA",4989,4865,70007,90765
"Saginaw, MI MSA",2880,2883,73250,90809
"Punta Gorda, FL MSA",2957,2905,85091,53728
"Terre Haute, IN MSA",2527,2511,57472,81857
"Warner Robins, GA MSA",4027,4205,46997,106093
"Midland, TX MSA",3588,3810,46503,138773
"Billings, MT MSA",3025,2994,61408,128176
"El Centro, CA MSA",11583,11337,69712,114855
"Dover, DE MSA",2875,2920,58740,76702
"Greenville, NC MSA",4572,4456,65229,116119
"Redding, CA MSA",709,698,49210,131822
"Joplin, MO MSA",3552,3625,0,195271
"Bowling Green, KY MSA",4941,4899,52345,68680
"Jackson, TN MSA",3292,3396,35968,124401
"Kingston, NY MSA",2242,2196,91591,47897
"St. George, UT MSA",3146,3117,44946,74015
"Yuba City, CA MSA",2809,2576,50930,127899
"Panama City, FL MSA",5878,5100,46515,131703
"Muskegon, MI MSA",2391,2752,66703,93275
"Iowa City, IA MSA",5443,5085,89116,88326
"Abilene, TX MSA",3556,4160,47806,117113
"Oshkosh-Neenah, WI MSA",2953,2919,60967,113336
"Bloomington, IL MSA",3171,3031,69570,53784
"East Stroudsburg, PA MSA",1775,1768,57722,76055
"Burlington, NC MSA",3749,3778,66778,105882
"Eau Claire, WI MSA",2142,2174,66833,109196
"Bloomington, IN MSA",3016,3002,79983,76076
"Hattiesburg, MS MSA",5248,5349,47114,67668
"Waterloo-Cedar Falls, IA MSA",5049,4911,80424,36270
"Pueblo, CO MSA",1041,1040,41279,89545
"Blacksburg-Christiansburg, VA MSA",2254,2115,59132,89182
"Kahului-Wailuku-Lahaina, HI MSA",478,522,71915,43542
"Odessa, TX MSA",4649,4424,41003,131826
"Coeur d'Alene, ID MSA",2504,2599,47403,127218
"Auburn-Opelika, AL MSA",5751,5754,49028,98631
"Janesville-Beloit, WI MSA",2459,2500,60316,74814
"Wausau-Weston, WI MSA",1177,1182,46794,108756
"State College, PA MSA",1836,2099,68621,86347
"Sebastian-Vero Beach, FL MSA",3099,2862,67690,92701
"Jackson, MI MSA",2733,3062,59484,85220
"Madera, CA MSA",4391,4270,49086,64406
"Chambersburg-Waynesboro, PA MSA",1719,1723,43753,73259
"Grand Junction, CO MSA",544,568,38440,82831
"Elizabethtown-Fort Knox, KY MSA",1562,1556,51329,92543
"Niles, MI MSA",1865,1911,56659,92980
"Hanford-Corcoran, CA MSA",7534,7635,32929,66013
"Decatur, AL MSA",3806,3815,41416,116572
"Bangor, ME MSA",252,270,72197,44794
"Alexandria, LA MSA",4580,4486,38936,115157
"Idaho Falls, ID MSA",2999,2814,45083,100497
"Wichita Falls, TX MSA",1790,1735,44847,104283
"Jefferson City, MO MSA",2377,2430,45612,83485
"Monroe, MI MSA",1471,1499,45458,79439
"Santa Fe, NM MSA",958,939,79178,69826
"Homosassa Springs, FL MSA",2646,2428,54849,91779
"Vineland-Bridgeton, NJ MSA",3752,3772,50609,87258
"Dothan, AL MSA",3783,3768,37742,82342
"Texarkana, TX-AR MSA",2029,1947,21789,101830
"Florence-Muscle Shoals, AL MSA",3262,3205,42410,102593
"Valdosta, GA MSA",4863,4540,29808,114188
"Albany, GA MSA",4751,4999,42445,83183
"Rocky Mount, NC MSA",3456,3582,48991,61503
"Dalton, GA MSA",5253,5160,33722,83525
"Sioux City, IA-NE-SD MSA",8819,8690,67447,55984
"Flagstaff, AZ MSA",3749,3936,63395,86018
"Morristown, TN MSA",3254,3100,39588,87384
"Logan, UT-ID MSA",2675,2627,40858,107501
"Rapid City, SD MSA",2466,2499,40777,101191
"Lebanon, PA MSA",1945,1952,48085,68400
"Winchester, VA-WV MSA",948,961,36950,102120
"Sumter, SC MSA",3130,3066,29147,103219
"Morgantown, WV MSA",2051,2180,55730,88167
"Wheeling, WV-OH MSA",1225,1243,48569,53464
"Napa, CA MSA",1627,1549,72895,9913
"La Crosse-Onalaska, WI-MN MSA",2876,2821,63070,76043
"Sherman-Denison, TX MSA",1791,1679,36577,34850
"Carbondale-Marion, IL MSA",2710,2751,43501,60238
"Harrisonburg, VA MSA",1380,1422,30371,64531
"Hammond, LA MSA",4385,4295,34558,76339
"Battle Creek, MI MSA",1239,1234,45246,57709
"Springfield, OH MSA",1742,1773,49157,30637
"Jonesboro, AR MSA",3255,3247,32134,84318
"The Villages, FL MSA",2164,2137,76649,46362
"Manhattan, KS MSA",2263,2252,35544,70799
"Johnstown, PA MSA",547,538,49036,79054
"Albany-Lebanon, OR MSA",468,474,44632,89352
"Mount Vernon-Anacortes, WA MSA",1080,1065,54703,51490
"Bismarck, ND MSA",4229,4214,49906,80431
"Lawton, OK MSA",1557,1600,38206,92197
"Sierra Vista-Douglas, AZ MSA",1881,1977,47051,71271
"St. Joseph, MO-KS MSA",2467,2391,24184,56843
"Glens Falls, NY MSA",650,633,60616,36199
"Pittsfield, MA MSA",702,779,46948,44707
"Cleveland, TN MSA",3236,3154,29836,101119
"New Bern, NC MSA",1664,1726,45541,39559
"Farmington, NM MSA",3266,3272,55981,73705
"Ames, IA MSA",3793,3742,54924,67906
"Goldsboro, NC MSA",3165,3075,33743,61961
"Staunton, VA MSA",469,513,30501,87445
"Lawrence, KS MSA",2084,2333,52741,54723
"San Angelo, TX MSA",3589,3146,36121,82189
"Altoona, PA MSA",589,566,39537,70317
"Mansfield, OH MSA",804,807,35949,54537
"Wenatchee, WA MSA",3298,3420,51839,22351
"Missoula, MT MSA",621,629,56573,66531
"Owensboro, KY MSA",1429,1502,42277,57896
"Brunswick, GA MSA",4044,4249,34621,90582
"Weirton-Steubenville, WV-OH MSA",572,579,41498,80244
"Beckley, WV MSA",1042,1044,42160,77835
"Sheboygan, WI MSA",1506,1509,44228,26091
"Muncie, IN MSA",1887,1899,38288,38959
"Anniston-Oxford, AL MSA",3374,3382,27371,79604
"California-Lexington Park, MD MSA",1259,1306,44919,54021
"Williamsport, PA MSA",630,557,38818,59188
"Twin Falls, ID MSA",2809,2779,30966,68887
"Longview, WA MSA",611,614,38713,74265
"Michigan City-La Porte, IN MSA",1376,1416,41442,33288
"Kankakee, IL MSA",2678,2696,32704,68939
"Watertown-Fort Drum, NY MSA",163,162,39210,51917
"Lewiston-Auburn, ME MSA",687,688,47698,40769
"Sebring-Avon Park, FL MSA",2081,2037,33744,68978
"Decatur, IL MSA",1396,1465,34194,53154
"Fond du Lac, WI MSA",1832,1798,32187,73205
"Bay City, MI MSA",971,1041,42720,34692
"Gettysburg, PA MSA",796,808,33796,33826
"Lima, OH MSA",1378,1419,30139,62272
"Gadsden, AL MSA",3365,3294,25844,78420
"Ithaca, NY MSA",398,405,59642,21354
"Mankato, MN MSA",2115,2108,45023,54292
"Grand Forks, ND-MN MSA",2374,2268,43214,32325
"Victoria, TX MSA",4981,5898,36728,67586
"Cheyenne, WY MSA",652,680,22207,77384
"Hot Springs, AR MSA",1750,1763,27442,67011
"Rome, GA MSA",2984,2907,25857,39379
"Dubuque, IA MSA",2823,2875,56037,40868
"Cumberland, MD-WV MSA",611,642,32927,64537
"Fairbanks, AK MSA",1036,1076,31622,33400
"Cape Girardeau, MO-IL MSA",1960,2000,27559,71342
"Pocatello, ID MSA",1185,1217,31008,63446
"Corvallis, OR MSA",280,371,51138,43121
"Ocean City, NJ MSA",1007,1137,47003,26905
"Parkersburg-Vienna, WV MSA",625,644,54381,13228
"Pine Bluff, AR MSA",5048,5056,19956,33220
"Grants Pass, OR MSA",186,233,27820,62006
"Columbus, IN MSA",1166,1193,34147,31137
"Elmira, NY MSA",338,329,30718,44895
"Bloomsburg-Berwick, PA MSA",1027,1018,36364,22579
"Midland, MI MSA",570,604,35907,38991
"Kokomo, IN MSA",1285,1344,26431,30396
"Great Falls, MT MSA",544,554,25809,57450
"Hinesville, GA MSA",1295,1258,10563,69121
"Casper, WY MSA",451,461,17547,56177
"Danville, IL MSA",619,654,17716,59247
"Grand Island, NE MSA",2258,2349,25415,49327
"Lewiston, ID-WA MSA",489,498,17135,39214
"Enid, OK MSA",1504,1522,16927,43572
"Walla Walla, WA MSA",872,899,24159,11638
"Carson City, NV MSA",525,524,24436,18805
